"id","fqdn/ip","port","severity","finding","cve","cwe"
"cert","www.justice.fr/185.24.184.180","443","INFO","-----BEGIN CERTIFICATE-----\nMIIIZjCCBk6gAwIBAgIQZTGf1UqB1Fn2egph4qpJFDANBgkqhkiG9w0BAQsFADB9MQswCQYDVQQGEwJGUjESMBAGA1UECgwJREhJTVlPVElTMRwwGgYDVQQLDBMwMDAyIDQ4MTQ2MzA4MTAwMDM2MR0wGwYDVQRhDBROVFJGUi00ODE0NjMwODEwMDAzNjEdMBsGA1UEAwwUQ2VydGlnbmEgU2VydmljZXMgQ0EwHhcNMjIwMzEwMjMwMDAwWhcNMjMwMzEwMjI1OTU5WjCBizELMAkGA1UEBhMCRlIxDjAMBgNVBAcMBVBBUklTMSAwHgYDVQQKDBdNSU5JU1RFUkUgREUgTEEgSlVTVElDRTEcMBoGA1UECwwTMDAwMiAxMTAwMTAwMTQwMDAxNDEXMBUGA1UEAwwOd3d3Lmp1c3RpY2UuZnIxEzARBgNVBAUTClMyMjk4NjA4NTQwggEiMA0GCSqGSIb3DQEBAQUAA4IBDwAwggEKAoIBAQC7RL9X10b6sEH6ZbXj7eNhRQvvT8pipEbGE8psuNm5q3aJBGxl3txnNnx+0tqOR4cqzfkAzrl4b0XlHEAI01pblniDj+vq3z6IdGllE5CU5qjFSTTMXo3+mhW2lm5I7aYxKX8RF5P8GfjQxNQa31A8PIRj7lhRUME6FktBmcpJ/k1G7/9L3aoeSwH62lhrF71mgXTepar6Ky28lBTzzEOJI1RezZBEHb1/9+N1QVoccIbolTWyekWuNwKuWNjcM9JPFWIGJfq22gYUYEaLawIafMPCnK9ncrTMA7JoAo6Ot2jQFAgLIxC8D/+RZ5oXkM+dVgHISN+didS75rQsUDFzAgMBAAGjggPRMIIDzTCB5AYIKwYBBQUHAQEEgdcwgdQwOAYIKwYBBQUHMAKGLGh0dHA6Ly9hdXRvcml0ZS5kaGlteW90aXMuY29tL3NlcnZpY2VzY2EuZGVyMDYGCCsGAQUFBzAChipodHRwOi8vYXV0b3JpdGUuY2VydGlnbmEuZnIvc2VydmljZXNjYS5kZXIwMAYIKwYBBQUHMAGGJGh0dHA6Ly9zZXJ2aWNlc2NhLm9jc3AuZGhpbXlvdGlzLmNvbTAuBggrBgEFBQcwAYYiaHR0cDovL3NlcnZpY2VzY2Eub2NzcC5jZXJ0aWduYS5mcjAfBgNVHSMEGDAWgBSs7IaPSzccuH8XGxnQruhO4zRcEjAJBgNVHRMEAjAAMGEGA1UdIARaMFgwCAYGZ4EMAQICMEwGCyqBegGBMQIFAQEBMD0wOwYIKwYBBQUHAgEWL2h0dHBzOi8vd3d3LmNlcnRpZ25hLmNvbS9hdXRvcml0ZS1jZXJ0aWZpY2F0aW9uMGUGA1UdHwReMFwwK6ApoCeGJWh0dHA6Ly9jcmwuY2VydGlnbmEuZnIvc2VydmljZXNjYS5jcmwwLaAroCmGJ2h0dHA6Ly9jcmwuZGhpbXlvdGlzLmNvbS9zZXJ2aWNlc2NhLmNybDATBgNVHSUEDDAKBggrBgEFBQcDATAOBgNVHQ8BAf8EBAMCBaAwJQYDVR0RBB4wHIIKanVzdGljZS5mcoIOd3d3Lmp1c3RpY2UuZnIwHQYDVR0OBBYEFLmLgrYKiZ+m9XS0y2DjvuCMHcXhMIIBgQYKKwYBBAHWeQIEAgSCAXEEggFtAWsAdwCt9776fP8QyIudPZwePhhqtGcpXc+xDCTKhYY069yCigAAAX95hcH1AAAEAwBIMEYCIQD0qCItQP8abEhjlBX2OcNrB7CwxaD+1V4vJK29OWpP5gIhAI7r1VsYJLdB96smXJc/xcRu1r2M8mjIHqQJPMhOlrqKAHcA6D7Q2j71BjUy51covIlryQPTy9ERa+zraeF3fW0GvW4AAAF/eYXCHQAABAMASDBGAiEAz5oJJQzymOOe2jEkr+3DO5jNR4GFguK1lciMuqlQrtgCIQCyp+bR362YX+/JaHJQcLDLGv1T2xtBxzWizWUV5vny3gB3ALNzdwfhhFD4Y4bWBancEQlKeS2xZwwLh9zwAw55NqWaAAABf3mFxj8AAAQDAEgwRgIhALWXVWJiEnkEZPWUC9FW1LKeaZ+3NQQfDHDwJxG7xWVEAiEAwaoW1yx2rW9aOI0wkW+h/lrpBDM2WyqOWrLPPM9ofjQwDQYJKoZIhvcNAQELBQADggIBADjbbNciY2a3Hj5bbiLG540FJ2lS3PIvO6YaajdnRO6uQgLXSk+HTBXf7qOWMyCJGnFgWH0PJKPKOuxw5Bd1EoGnvao3ZICH0A7OQBNiVg3l8N4cHke7klPmwevIkUIbH2HsVP9GcvcmcTziXKPpuvG0leUaQO0xcWs/xmU3dieE2wEdB11kTAQNKSznaEAA22qdQQ6f07eYOjdMRxXzKvVdqoveAU+D4MMksXFbiIQczGvwNujBdgUBo2GpzybzrV8eDniJywaxik2H0EtFzi1wf1iZpHzXw/sHv/ak9CnSb4w7byid7hWySQlhklzi1BjVl+ogQR0rE6YiKme6MNvgazo5ykh9lOZ1l0PNs5OYdn7iCBIxu/L8cpeM3LrV6LH094FZqtb9hjbcVQFT7ZEckYnkYAxAyZD0vV6RxS9h2Phn+kKjgGg0UVj0HOp7bHysuLPMjCQATk6+qTy3ZhZjSGiRa2sISHwB9Ayb6uF/E6N/c6N2e3h01snzfrQZD4hcu8u5TjJ4GKK4Yzoqi6CkWUw9WHQ5TAIXIG79n1n9KwQfhNPtBorP1rMZjQVYU9GjXqquNErjtitoJ2mAhzwSRh3oPSfWu4AgplqbPnQ7C8czEpH/lxyONwH08iQW0NMG20miVCvJH3OErSzjMjy0l/sUrdNUNEKhTF154xpz\n-----END CERTIFICATE-----","",""
"cert_commonName","www.justice.fr/185.24.184.180","443","OK","www.justice.fr","",""
"cert_commonName_wo_SNI","www.justice.fr/185.24.184.180","443","INFO","www.justice.fr","",""
"cert_subjectAltName","www.justice.fr/185.24.184.180","443","INFO","justice.fr www.justice.fr","",""
"cert_trust","www.justice.fr/185.24.184.180","443","OK","Ok via SAN and CN (same w/o SNI)","",""
"cert_chain_of_trust","www.justice.fr/185.24.184.180","443","CRITICAL","Some certificate trust checks failed -> Java (self signed CA in chain)  , OK -> Mozilla Microsoft Linux Apple","",""
"cert_certificatePolicies_EV","www.justice.fr/185.24.184.180","443","INFO","no","",""
"cert_expirationStatus","www.justice.fr/185.24.184.180","443","HIGH","expires < 30 days (19)","",""
"cert_notBefore","www.justice.fr/185.24.184.180","443","INFO","2022-03-10 23:00","",""
"cert_notAfter","www.justice.fr/185.24.184.180","443","HIGH","2023-03-10 22:59","",""
