"id","fqdn/ip","port","severity","finding","cve","cwe"
"cert","search.judilibre.io/51.159.85.176","443","INFO","-----BEGIN CERTIFICATE-----\nMIIFLTCCBBWgAwIBAgISA6RhWfzKGn/3wgZbaTzhmTCmMA0GCSqGSIb3DQEBCwUAMDIxCzAJBgNVBAYTAlVTMRYwFAYDVQQKEw1MZXQncyBFbmNyeXB0MQswCQYDVQQDEwJSMzAeFw0yMjExMDYxNTE0MjNaFw0yMzAyMDQxNTE0MjJaMB4xHDAaBgNVBAMTE3NlYXJjaC5qdWRpbGlicmUuaW8wggEiMA0GCSqGSIb3DQEBAQUAA4IBDwAwggEKAoIBAQDvD/3DgGNA48ncqVJ6Zf9VZuTlkO5DVg3qjWdlA1FokBZgSkAaZRk2dzoj9wAwBYf6v9ZwMc8YhOt6t9BgAHkNhIoY7dvleFrWWNDBx7vYISfRXZIJnRot8V0FYTLYY/Z9Z4eIe1AsRhFYYu6jYuc53jxzYIq2J2aR+yXTGFKAAhF4IVfPbAMnwQs8NOh0h8HqPACO6475c8miLEV9ds/GwKRJGctPLJxnkKrx8Hd3niy8eorqErNnxnGG7CwgbLNkybyGYgo4gA+PdLz88wGwihgXeOUnXon4HklTnTfld3cdhDKIQsFGO1jegepC0ynQ5NWBKUxQXNQVvRqcnR53AgMBAAGjggJPMIICSzAOBgNVHQ8BAf8EBAMCBaAwHQYDVR0lBBYwFAYIKwYBBQUHAwEGCCsGAQUFBwMCMAwGA1UdEwEB/wQCMAAwHQYDVR0OBBYEFMk8HbVsPoRcSk+E52zob2k89ZHJMB8GA1UdIwQYMBaAFBQusxe3WFbLrlAJQOYfr52LFMLGMFUGCCsGAQUFBwEBBEkwRzAhBggrBgEFBQcwAYYVaHR0cDovL3IzLm8ubGVuY3Iub3JnMCIGCCsGAQUFBzAChhZodHRwOi8vcjMuaS5sZW5jci5vcmcvMB4GA1UdEQQXMBWCE3NlYXJjaC5qdWRpbGlicmUuaW8wTAYDVR0gBEUwQzAIBgZngQwBAgEwNwYLKwYBBAGC3xMBAQEwKDAmBggrBgEFBQcCARYaaHR0cDovL2Nwcy5sZXRzZW5jcnlwdC5vcmcwggEFBgorBgEEAdZ5AgQCBIH2BIHzAPEAdwC3Pvsk35xNunXyOcW6WPRsXfxCz3qfNcSeHQmBJe20mQAAAYRNuL4CAAAEAwBIMEYCIQDnWmiCUrp+pdfQ6WY2ipG3fYbkNM6QczzbkHk1rUAcqgIhAOHGAlarAXg8VxNs8/NBwe7fyTInymfOBj7ivcvv0Xc9AHYArfe++nz/EMiLnT2cHj4YarRnKV3PsQwkyoWGNOvcgooAAAGETbi+MAAABAMARzBFAiEA7ma5MPBumciSzjUIX774g6YgIxcgL3XPTyQMl8RsVrwCIFMTNpzPcLxjneebpCIXNtH9e+2ExAJ8R3z7Sp3k42RvMA0GCSqGSIb3DQEBCwUAA4IBAQA23NsikkVGobg2V5e2FU11lZUHYayqfXV83oDT70CDPAe7aBp4UQLwV2PaaTT2OG+IiWa/skyLAYtswp7LbS7bugHz+V0fEf4Dvl4tfYxj8+KfNV4R6VF08bm1I8KMr104G384wd5PZEWzMu1e5EOFqamrDdfgrZE0UCg386Ivy8SUH71iEfvxzDL2Y3w7Fn5mHGG3GVLKIbREeoQkR13AVp+klSfrRTK410Mxl8CYGQPi+qHPwMJcxoi15ZSKiqmY1gXH3PFqsd8c+d3dDULIroYQUDNWr25tNQO5Rg3PMworvW7HcBcC45MRL4NODTd+JKPC3pIOhUNongySgwNv\n-----END CERTIFICATE-----","",""
"cert_commonName","search.judilibre.io/51.159.85.176","443","OK","search.judilibre.io","",""
"cert_commonName_wo_SNI","search.judilibre.io/51.159.85.176","443","INFO","Kubernetes Ingress Controller Fake Certificate","",""
"cert_subjectAltName","search.judilibre.io/51.159.85.176","443","INFO","search.judilibre.io","",""
"cert_trust","search.judilibre.io/51.159.85.176","443","OK","Ok via SAN and CN (SNI mandatory)","",""
"cert_chain_of_trust","search.judilibre.io/51.159.85.176","443","OK","passed.","",""
"cert_certificatePolicies_EV","search.judilibre.io/51.159.85.176","443","INFO","no","",""
"cert_expirationStatus","search.judilibre.io/51.159.85.176","443","OK","62 >= 30 days","",""
"cert_notBefore","search.judilibre.io/51.159.85.176","443","INFO","2022-11-06 15:14","",""
"cert_notAfter","search.judilibre.io/51.159.85.176","443","OK","2023-02-04 15:14","",""
