"id","fqdn/ip","port","severity","finding","cve","cwe"
"BREACH","search.judilibre.io/51.159.85.176","443","OK","not vulnerable, no gzip/deflate/compress/br HTTP compression  - only supplied '/' tested","CVE-2013-3587","CWE-310"
"POODLE_SSL","search.judilibre.io/51.159.85.176","443","OK","not vulnerable, no SSLv3","CVE-2014-3566","CWE-310"
"fallback_SCSV","search.judilibre.io/51.159.85.176","443","OK","no protocol below TLS 1.2 offered","",""
"SWEET32","search.judilibre.io/51.159.85.176","443","OK","not vulnerable","CVE-2016-2183 CVE-2016-6329","CWE-327"
"FREAK","search.judilibre.io/51.159.85.176","443","OK","not vulnerable","CVE-2015-0204","CWE-310"
"DROWN","search.judilibre.io/51.159.85.176","443","OK","not vulnerable on this host and port","CVE-2016-0800 CVE-2016-0703","CWE-310"
"DROWN_hint","search.judilibre.io/51.159.85.176","443","INFO","Make sure you don't use this certificate elsewhere with SSLv2 enabled services, see https://search.censys.io/search?resource=hosts&virtual_hosts=INCLUDE&q=3DF60E90C819A4CABD6286145F1512077A169EF4B960CF0268915499C13E6C45","CVE-2016-0800 CVE-2016-0703","CWE-310"
"LOGJAM","search.judilibre.io/51.159.85.176","443","OK","not vulnerable, no DH EXPORT ciphers,","CVE-2015-4000","CWE-310"
"LOGJAM-common_primes","search.judilibre.io/51.159.85.176","443","OK","no DH key with <= TLS 1.2","CVE-2015-4000","CWE-310"
"BEAST","search.judilibre.io/51.159.85.176","443","OK","not vulnerable, no SSL3 or TLS1","CVE-2011-3389","CWE-20"
"LUCKY13","search.judilibre.io/51.159.85.176","443","OK","not vulnerable","CVE-2013-0169","CWE-310"
"winshock","search.judilibre.io/51.159.85.176","443","OK","not vulnerable","CVE-2014-6321","CWE-94"
"RC4","search.judilibre.io/51.159.85.176","443","OK","not vulnerable","CVE-2013-2566 CVE-2015-2808","CWE-310"
"clientsimulation-android_60","search.judilibre.io/51.159.85.176","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-android_70","search.judilibre.io/51.159.85.176","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-android_81","search.judilibre.io/51.159.85.176","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-android_90","search.judilibre.io/51.159.85.176","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-android_X","search.judilibre.io/51.159.85.176","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-android_11","search.judilibre.io/51.159.85.176","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-android_12","search.judilibre.io/51.159.85.176","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-chrome_79_win10","search.judilibre.io/51.159.85.176","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-chrome_101_win10","search.judilibre.io/51.159.85.176","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-firefox_66_win81","search.judilibre.io/51.159.85.176","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-firefox_100_win10","search.judilibre.io/51.159.85.176","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-ie_6_xp","search.judilibre.io/51.159.85.176","443","INFO","No connection","",""
"clientsimulation-ie_8_win7","search.judilibre.io/51.159.85.176","443","INFO","No connection","",""
"clientsimulation-ie_8_xp","search.judilibre.io/51.159.85.176","443","INFO","No connection","",""
"clientsimulation-ie_11_win7","search.judilibre.io/51.159.85.176","443","INFO","No connection","",""
"clientsimulation-ie_11_win81","search.judilibre.io/51.159.85.176","443","INFO","No connection","",""
"clientsimulation-ie_11_winphone81","search.judilibre.io/51.159.85.176","443","INFO","No connection","",""
"clientsimulation-ie_11_win10","search.judilibre.io/51.159.85.176","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-edge_15_win10","search.judilibre.io/51.159.85.176","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-edge_101_win10_21h2","search.judilibre.io/51.159.85.176","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
