"id","fqdn/ip","port","severity","finding","cve","cwe"
"cert","piste.gouv.fr/185.24.185.46","443","INFO","-----BEGIN CERTIFICATE----- MIII0TCCBrmgAwIBAgIQOv4Nqel76jDOLa3CF8UkzTANBgkqhkiG9w0BAQsFADB5 MQswCQYDVQQGEwJGUjESMBAGA1UECgwJREhJTVlPVElTMRwwGgYDVQQLDBMwMDAy IDQ4MTQ2MzA4MTAwMDM2MR0wGwYDVQRhDBROVFJGUi00ODE0NjMwODEwMDAzNjEZ MBcGA1UEAwwQQ2VydGlnbmEgV2lsZCBDQTAeFw0yMDA4MTcxODExMDFaFw0yMjA4 MTcxODExMDFaMG0xCzAJBgNVBAYTAkZSMRcwFQYDVQQHDA5OT0lTWSBMRSBHUkFO RDENMAsGA1UECgwEQUlGRTEcMBoGA1UECwwTMDAwMiAxMzAwMTk3NzEwMDAxODEY MBYGA1UEAwwPKi5waXN0ZS5nb3V2LmZyMIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8A MIIBCgKCAQEA0SOlzVVDNDC3zhCQR2LQMgS5Bi26MVcyX3Z73NMTCOU2O2pgSkiv /CBY4jak4OscIpi8gTEfMBfTDyk1cmPlvVCdFdAJOeiyd4H82k8986POL4Cvt9g+ tqHrx1KbWSqcEhMxulgV+RSRFfDDQAR+npeAJQhJrGxiJcBUCjXfr1jlep2OXztm qyWzZUNeGcpP6WMgopck+vVcxVPcMRTRpr/NknMUFVbJijZxvqfygwTHlIgdcGlw pJnj1A0GbfMHYmQUBzzThaiEOJWIKKlnRDtxqx8iZozoW4J1q6BvhNVGUy5acJHA EoGfd8jXYWHT9pTDG9l6vuYd/W8rCEbZxQIDAQABo4IEXzCCBFswCQYDVR0TBAIw ADAOBgNVHQ8BAf8EBAMCBaAwHQYDVR0lBBYwFAYIKwYBBQUHAwEGCCsGAQUFBwMC MF0GA1UdHwRWMFQwJ6AloCOGIWh0dHA6Ly9jcmwuY2VydGlnbmEuZnIvd2lsZGNh LmNybDApoCegJYYjaHR0cDovL2NybC5kaGlteW90aXMuY29tL3dpbGRjYS5jcmww gdQGCCsGAQUFBwEBBIHHMIHEMDIGCCsGAQUFBzAChiZodHRwOi8vYXV0b3JpdGUu Y2VydGlnbmEuZnIvd2lsZGNhLmRlcjA0BggrBgEFBQcwAoYoaHR0cDovL2F1dG9y aXRlLmRoaW15b3Rpcy5jb20vd2lsZGNhLmRlcjAqBggrBgEFBQcwAYYeaHR0cDov L3dpbGRjYS5vY3NwLmNlcnRpZ25hLmZyMCwGCCsGAQUFBzABhiBodHRwOi8vd2ls ZGNhLm9jc3AuZGhpbXlvdGlzLmNvbTAdBgNVHQ4EFgQU8rvyjpPVEgkcUGg7p+kt 5blBGRcwHwYDVR0jBBgwFoAUjnwXt7z3w7SY1rY1mSIqxMOeJGcwWQYDVR0RBFIw UIIPKi5waXN0ZS5nb3V2LmZyghcqLmFpZmUuZWNvbm9taWUuZ291di5mcoIVYWlm ZS5lY29ub21pZS5nb3V2LmZygg1waXN0ZS5nb3V2LmZyMFQGA1UdIARNMEswCAYG Z4EMAQICMD8GCyqBegGBMQIHAQIBMDAwLgYIKwYBBQUHAgEWImh0dHBzOi8vd3d3 LmNlcnRpZ25hLmZyL2F1dG9yaXRlcy8wggH2BgorBgEEAdZ5AgQCBIIB5gSCAeIB 4AB2AEHIyrHfIkZKEMahOglCh15OMYsbA+vrS8do8JBilgb2AAABc/2eGNMAAAQD AEcwRQIhAK9eV5Aajx7HTmHbnvD2VRj0MykTBNHOQm+VMEXRWvQvAiAe6wptGWFK OztBauywNhSkcBeBQfoSCHnMdLHrgwSh9wB2AG9Tdqwx8DEZ2JkApFEV/3cVHBHZ AsEAKQaNsgiaN9kTAAABc/2eGbAAAAQDAEcwRQIhAOz/Zb6HibgtRH45QU2/geHA iPRsv8Ljm+hio+tJYaJGAiBb9R2oXqCpU+wWpLy3Nfwlq7HAgeNkcoMO1UpqPV/z QAB2ACJFRQdZVSRWlj+hL/H3bYbgIyZjrcBLf13Gg1xu4g8CAAABc/2eHDUAAAQD AEcwRQIgI1TrfvggNv/eT/A/P629n5vTxwjMJGgwAgKlLm2I9BgCIQDEiCSdln2F UcvNscUaP1TBeH0YHaCWXafvOy6UeXOISwB2ACl5vvCeOTkh8FZzn2Old+W+V32c YAr4+U1dJlwlXceEAAABc/2eHRgAAAQDAEcwRQIhANs1lm4LZScbBz1CHxhDo3vr BzK6z6Zb/0ELFUTuBraHAiBboaWcEKNl3COIBkJko7OVn8r2MEifEtvwARtBbW7I NzANBgkqhkiG9w0BAQsFAAOCAgEAEkBggwhWNrhImy+mQiFwmOPSC7ZhJu9cWZU+ AU8dNRqEK1LfqAuQPefaGdw0tHKBdx+SXr+qUHSxlH3MSQ7bqZTmqwnZqaor5YUi y07vAY0B+1aK5886vPvhqSq5bffe4XlYVkNcW8Fn723GoThBuGHj8Ts3Wz8K8n8x OY1a/ZBcdrzabVktr1IcBfzw8+n6oKrBhGpwPmxmEYkMvZhnGDiFxhhcAlLiRxJT blCYyCKEfsCJ71RIKd4vq7MFYO5C4iJp4nQFgSYEUDBIVpEHV+WH2lb/2u/Pxr7d ihTB+u0am/EQpWPHo7f/WhobobXUyJPrH4hqlI+TdEj7PAbqGKYaFJHvG0vZD50u ruNsR9QWKz03xkwE+eC2dBTstwT9tEViwPo4M13hV765DSYyeZPBgBrVBWW757RE kGJ9zk2cO2YiwMOg6DfnJYxtHiRm8i5TI11Ewjy7HR7uyAaEmaDagb+i4s14b/sQ x0KIr2f5nUIOjU5V8Pv0knZV+2wjgXNGFTk1j1Jb0WeJnIs16JpDQdLOh68lnUXZ Sa+NpJ+RdHA2SPWKsi/HTC1y3TPhi65FI3rronPB2KUTrWiI7sCCMSfdCfgF+Fhc GpCOzzlZU2dPmRKu+lQhsi5+87gIuCKrk9kuzio5p22x3IGu6NEhfVgipOgc9Ug2 HbvTDYw= -----END CERTIFICATE-----","",""
"cert_commonName","piste.gouv.fr/185.24.185.46","443","OK","*.piste.gouv.fr","",""
"cert_commonName_wo_SNI","piste.gouv.fr/185.24.185.46","443","INFO","*.piste.gouv.fr","",""
"cert_subjectAltName","piste.gouv.fr/185.24.185.46","443","INFO","*.piste.gouv.fr *.aife.economie.gouv.fr aife.economie.gouv.fr piste.gouv.fr","",""
"cert_trust","piste.gouv.fr/185.24.185.46","443","OK","Ok via SAN (same w/o SNI)","",""
"cert_chain_of_trust","piste.gouv.fr/185.24.185.46","443","CRITICAL","Some certificate trust checks failed -> Java (self signed CA in chain)  , OK -> Mozilla Microsoft Linux Apple","",""
"cert_certificatePolicies_EV","piste.gouv.fr/185.24.185.46","443","INFO","no","",""
"cert_expirationStatus","piste.gouv.fr/185.24.185.46","443","OK","263 >= 60 days","",""
"cert_notBefore","piste.gouv.fr/185.24.185.46","443","INFO","2020-08-17 18:11","",""
"cert_notAfter","piste.gouv.fr/185.24.185.46","443","OK","2022-08-17 18:11","",""
